Node ID,LAT,LON
1,29.784588,-95.645013
2,29.784592,-95.617758
3,29.784489,-95.590326
4,29.784283,-95.563338
5,29.784128,-95.521332
6,29.784182,-95.501865
7,29.780928,-95.453964
8,29.783796,-95.475604
9,29.784411,-95.521263
10,29.784794,-95.563387
11,29.784951,-95.590382
12,29.784105,-95.521256
13,29.784018,-95.47551
14,29.78457,-95.521233
15,29.873193,-95.555237
16,29.808974,-95.441195
17,30.021344,-95.428999
18,29.828679,-95.38125
19,29.777204,-95.369374
20,29.93181,-95.411712
21,29.74262,-95.358578
22,29.715025,-95.315436
23,29.685005,-95.277368
24,29.669021,-95.262509
25,29.586796,-95.184214
26,29.669195,-95.262244
27,29.685078,-95.277133
28,29.715223,-95.315355
29,29.982346,-95.277211
30,29.939987,-95.295896
31,29.902753,-95.311799
32,29.848758,-95.333835
33,29.783946,-95.339687
34,29.848743,-95.333363
35,29.902619,-95.311445
36,29.940083,-95.295407
37,29.643937,-95.576024
38,29.675903,-95.541731
39,29.716647,-95.499039
40,29.728869,-95.460167
41,29.729969,-95.451427
42,29.733008,-95.386753
43,29.730241,-95.451477
44,29.729053,-95.460156
45,29.716832,-95.499262
46,29.675868,-95.542201
47,29.765617,-95.367342
48,29.73542,-95.347357
49,29.71826,-95.320764
50,29.696929,-95.289726
51,29.640866,-95.243419
52,29.615983,-95.216127
53,29.586542,-95.184522
54,29.553368,-95.15415
55,29.508139,-95.11658
56,29.553609,-95.153812
57,29.586814,-95.184185
58,29.616169,-95.215905
59,29.641038,-95.243187
60,29.697298,-95.288556
61,29.718449,-95.320678
62,29.735609,-95.347284
63,29.785085,-95.644578
64,29.785122,-95.666661
65,29.785367,-95.75175
66,29.785477,-95.77728
67,29.785933,-95.777568
68,29.785014,-95.751881
69,29.784937,-95.706077
70,29.784744,-95.666664
71,29.841463,-95.492893
72,29.812939,-95.410425
73,29.814056,-95.361187
74,29.812732,-95.410402
75,29.644437,-95.65151
76,29.689787,-95.64365
77,29.729183,-95.643888
78,29.735651,-95.643986
79,29.755909,-95.644481
80,29.775416,-95.643972
81,29.867619,-95.645294
82,29.836012,-95.645581
83,29.867616,-95.645115
84,29.87918,-95.645277
85,29.902297,-95.634034
86,29.909019,-95.629337
87,29.916657,-95.615814
88,29.921801,-95.604884
89,29.916777,-95.615893
90,29.909174,-95.629465
91,29.90237,-95.634222
92,29.879173,-95.645491
93,29.836007,-95.645777
94,29.775362,-95.644148
95,29.755857,-95.644652
96,29.735586,-95.6442
97,29.729111,-95.644086
98,29.689724,-95.643828
99,29.879547,-95.608515
100,29.87923,-95.645364
101,29.879993,-95.683358
102,29.879864,-95.683368
103,29.8791,-95.645377
104,29.939106,-95.331517
105,29.934568,-95.249527
106,29.934075,-95.225682
107,29.906715,-95.202398
108,29.870693,-95.187803
109,29.808714,-95.163502
110,29.755168,-95.146199
111,29.701678,-95.153869
